科室名称,医疗服务收入占比,耗材占医疗收入比例,门诊收入占医疗收入比例,门诊收入来自医保基金比例,住院收入占医疗收入比例,住院收入来自医保基金比例,门诊次均药品费用,门诊次均费用,住院次均费用,住院次均药品费用,全年绩效总分
儿科,0.37966666666666665,0.03715555555555556,0.40171111111111113,0.016522222222222223,0.598288888888889,0.08195555555555556,117.39,292.64888888888885,8405.458888888888,1991.9222222222222,0.2088103887309754
耳鼻咽喉头颈外科,0.22586666666666666,0.18647777777777777,0.4808888888888889,0.076,0.5191111111111111,0.17672222222222222,127.13777777777779,259.49,12561.311111111112,1578.8166666666666,0.2126434903368366
风湿免疫科,0.20195555555555555,0.012955555555555555,0.5029888888888888,0.1660111111111111,0.49701111111111107,0.3375666666666667,339.3388888888889,467.08111111111117,8859.632222222222,2375.8777777777777,0.2324007623497101
妇产科,0.3457222222222222,0.05065555555555556,0.6872333333333333,0.14065555555555556,0.3127666666666667,0.45951111111111115,178.36555555555555,616.1633333333334,6431.3966666666665,688.7655555555556,0.2992499024163166
肝胆外科,0.24385555555555552,0.13094444444444445,0.2401888888888889,0.3729222222222222,0.7598111111111111,0.4995666666666667,532.6533333333334,830.17,23664.878888888892,6719.956666666667,0.4008566912864878
高压氧康复科,0.7862777777777777,0.03312222222222222,0.08162222222222222,0.055688888888888885,0.9183777777777777,0.20062222222222223,52.601111111111116,631.0400000000001,27725.152222222223,2181.0844444444447,0.4005290409571186
骨科,0.2690111111111111,0.39356666666666673,0.20098888888888888,0.03888888888888889,0.7990111111111111,0.2509111111111111,179.1677777777778,412.12222222222226,32500.733333333337,2140.945555555556,0.2987761237731525
呼吸内科,0.21366666666666667,0.0495,0.2699555555555555,0.2567888888888889,0.7300444444444445,0.6116444444444444,212.56888888888886,347.5377777777778,17326.977777777778,7080.40888888889,0.3025857737845865
康复医学科,0.2690111111111111,0.39356666666666673,0.20098888888888888,0.03888888888888889,0.7990111111111111,0.2509111111111111,179.1677777777778,412.12222222222226,32500.733333333337,2140.945555555556,0.2987761237731525
口腔科,0.5647555555555556,0.1758111111111111,0.8302888888888889,0.05897777777777778,0.16971111111111112,0.31025555555555556,10.238888888888889,355.4822222222222,13071.16,1339.7722222222224,0.3287330398211745
泌尿外科,0.20146666666666668,0.2598888888888889,0.49416666666666664,0.3053888888888889,0.5058333333333332,0.35732222222222215,409.39,663.8244444444443,16333.615555555552,1474.68,0.325654326764803
内分泌科,0.12369999999999999,0.03147777777777778,0.6211,0.4420555555555556,0.3789,0.5431222222222223,238.74555555555557,335.24,8489.367777777778,1207.7888888888888,0.2811322163499155
皮肤科,0.4334555555555556,0.012133333333333333,0.8587888888888888,0.03618888888888889,0.14121111111111112,0.17641111111111113,138.01666666666665,291.6844444444444,8196.306666666665,2132.8733333333334,0.2370843103773192
普通外科,0.19765555555555558,0.34305555555555556,0.18143333333333334,0.2775888888888889,0.8185666666666667,0.3828555555555555,188.37666666666667,364.2088888888889,19936.193333333336,4495.051111111111,0.3140861782617427
全科医学科,0.31982222222222223,0.034633333333333335,0.2353666666666666,0.3426666666666667,0.7646333333333334,0.39004444444444447,209.55222222222224,349.29555555555555,12624.264444444445,2042.0955555555556,0.3038118325434025
烧伤整形科,0.6793333333333333,0.2023888888888889,0.6458777777777778,0.014733333333333333,0.35412222222222217,0.2398666666666667,32.92777777777778,652.0788888888889,15709.508888888891,1094.2944444444445,0.3681620615278826
神经内科,0.1383888888888889,0.015355555555555558,0.3912666666666667,0.21945555555555554,0.6087333333333333,0.4315111111111112,150.09555555555553,333.91333333333336,9424.597777777779,1526.836666666667,0.230093741143997
神经外科,0.22313333333333332,0.38112222222222225,0.13937777777777774,0.2865,0.8606222222222223,0.4640444444444445,432.8888888888889,663.8755555555555,63519.37111111112,9245.005555555555,0.4495121228582984
肾脏病科,0.32604444444444447,0.08158888888888889,0.5265111111111112,0.6092333333333334,0.4734888888888889,0.517588888888889,417.1866666666667,875.7577777777777,10410.328888888887,2670.6555555555556,0.4201075909077748
消化内科,0.22380000000000003,0.11943333333333334,0.4268222222222222,0.1458111111111111,0.5731777777777779,0.4337888888888889,193.70777777777778,415.13444444444445,10356.37,2323.6077777777778,0.2696452102320198
心胸外科,0.2384777777777778,0.36450000000000005,0.10266666666666667,0.3406777777777778,0.8973333333333334,0.48775555555555555,251.12,488.08111111111106,27824.624444444446,4604.001111111111,0.3788981186166706
心血管内科,0.16793333333333332,0.3378666666666666,0.27772222222222226,0.3878555555555556,0.7222777777777778,0.47278888888888887,252.67555555555555,398.88,26677.686666666665,3517.572222222222,0.3424610790096312
心脏外科,0.2690888888888889,0.3920555555555556,0.022022222222222224,0.26397777777777776,0.9779777777777778,0.5494888888888888,153.2311111111111,332.89666666666676,75818.79444444444,15399.517777777779,0.4686295024569833
血液科,0.19545555555555555,0.02601111111111111,0.09135555555555556,0.36268888888888884,0.9086444444444444,0.38145555555555555,818.9722222222222,1096.5800000000002,49779.32,29883.337777777782,0.4372448814556868
眼科,0.34053333333333335,0.1066,0.39963333333333334,0.08585555555555555,0.6003666666666666,0.45609999999999995,63.68444444444444,224.51666666666668,8708.296666666669,1470.2377777777776,0.2733752734027201
中医科,0.29001111111111105,0.024844444444444447,0.6597555555555555,0.1879888888888889,0.3402444444444444,0.3642777777777778,207.15333333333334,262.01666666666665,11243.728888888889,1218.33,0.2543487473686661
肿瘤科,0.34894444444444445,0.053811111111111115,0.0675,0.3829222222222222,0.9325,0.5159333333333334,510.2344444444444,731.8644444444445,15923.235555555555,6301.937777777778,0.4047239278336583
